날짜,총 재생 횟수,변동
2025년 07월 27일,4120405.234,27872
2025년 07월 28일,4148277.036,27872
2025년 07월 29일,4176148.838,27872
2025년 07월 30일,4204020.64,27872
2025년 07월 31일,4231892.442,27872
2025년 08월 01일,4259764.244,27872
2025년 08월 02일,4287636.046,27872
2025년 08월 03일,4315507.848,27872
2025년 08월 04일,4343379.65,27872
2025년 08월 05일,4371251.452,27872
2025년 08월 06일,4399123.254,27872
2025년 08월 07일,4426995.056,27872
2025년 08월 08일,4454866.858,27872
2025년 08월 09일,4482738.66,27872
2025년 08월 10일,4510610.462,27872
2025년 08월 11일,4538482.264,27872
2025년 08월 12일,4566354.066,27872
2025년 08월 13일,4594225.868,27872
2025년 08월 14일,4622097.67,27872
2025년 08월 15일,4649969.472,27872
2025년 08월 16일,4677841.274,27872
2025년 08월 17일,4705713.076,27872
2025년 08월 18일,4733584.878,27872
2025년 08월 19일,4761456.68,27872
2025년 08월 20일,4789328.482,27872
2025년 08월 21일,4817200.284,27872
2025년 08월 22일,4845072.086,27872
2025년 08월 23일,4872943.888,27872
2025년 08월 24일,4900815.69,27872
2025년 08월 25일,4928687.492,27872
2025년 08월 26일,4956559.294,27872
2025년 08월 27일,4984431.096,27872
2025년 08월 28일,5012302.898,27872
2025년 08월 29일,5040174.701,27872
2025년 08월 30일,5068046.503,27872
2025년 08월 31일,5095918.305,27872
2025년 09월 01일,5123790.107,27872
2025년 09월 02일,5151661.909,27872
2025년 09월 03일,5179533.711,27872
2025년 09월 04일,5207405.513,27872
2025년 09월 05일,5235277.315,27872
2025년 09월 06일,5263149.117,27872
2025년 09월 07일,5291020.919,27872
2025년 09월 08일,5318892.721,27872
2025년 09월 09일,5346764.523,27872
2025년 09월 10일,5374636.325,27872
2025년 09월 11일,5402508.127,27872
2025년 09월 12일,5430379.929,27872
2025년 09월 13일,5458251.731,27872
2025년 09월 14일,5486123.533,27872
2025년 09월 15일,5513995.335,27872
2025년 09월 16일,5541867.137,27872
2025년 09월 17일,5569738.939,27872
2025년 09월 18일,5597610.741,27872
2025년 09월 19일,5625482.543,27872
2025년 09월 20일,5653354.345,27872
2025년 09월 21일,5681226.147,27872
2025년 09월 22일,5709097.949,27872
2025년 09월 23일,5736969.751,27872
2025년 09월 24일,5764841.553,27872
2025년 09월 25일,5792713.355,27872
2025년 09월 26일,5820585.157,27872
2025년 09월 27일,5848456.959,27872
2025년 09월 28일,5876328.761,27872
2025년 09월 29일,5904200.563,27872
2025년 09월 30일,5932072.365,27872
2025년 10월 01일,5959944.168,27872
2025년 10월 02일,5987815.97,27872
2025년 10월 03일,6015687.772,27872
2025년 10월 04일,6043559.574,27872
2025년 10월 05일,6071431.376,27872
2025년 10월 06일,6099303.178,27872
2025년 10월 07일,6127174.98,27872
2025년 10월 08일,6155046.782,27872
2025년 10월 09일,6182918.584,27872
2025년 10월 10일,6210790.386,27872
2025년 10월 11일,6238662.188,27872
2025년 10월 12일,6266533.99,27872
2025년 10월 13일,6294405.792,27872
2025년 10월 14일,6322277.594,27872
2025년 10월 15일,6350149.396,27872
2025년 10월 16일,6378021.198,27872
2025년 10월 17일,6405893,27872
2025년 10월 18일,6416086,10193
2025년 10월 19일,6426279,10193
2025년 10월 20일,6454039,27760
2025년 10월 21일,6469992,15953
2025년 10월 22일,6490380,20388
2025년 10월 23일,6500838.5,10459
2025년 10월 24일,6511297,10459
2025년 10월 25일,6530434,19137
2025년 10월 26일,6549571,19137
2025년 10월 27일,6565224.306,15653
2025년 10월 28일,6580877.611,15653
2025년 10월 29일,6596530.917,15653
2025년 10월 30일,6612184.222,15653
2025년 10월 31일,6627837.528,15653
2025년 11월 01일,6643490.833,15653
2025년 11월 02일,6659144.139,15653
2025년 11월 03일,6674797.444,15653
2025년 11월 04일,6690450.75,15653
2025년 11월 05일,6706104.056,15653
2025년 11월 06일,6721757.361,15653
2025년 11월 07일,6737410.667,15653
2025년 11월 08일,6753063.972,15653
2025년 11월 09일,6768717.278,15653
2025년 11월 10일,6784370.583,15653
2025년 11월 11일,6800023.889,15653
2025년 11월 12일,6815677.194,15653
2025년 11월 13일,6831330.5,15653
2025년 11월 14일,6846983.806,15653
2025년 11월 15일,6862637.111,15653
2025년 11월 16일,6878290.417,15653
2025년 11월 17일,6893943.722,15653
2025년 11월 18일,6909597.028,15653
2025년 11월 19일,6925250.333,15653
2025년 11월 20일,6940903.639,15653
2025년 11월 21일,6956556.944,15653
2025년 11월 22일,6972210.25,15653
2025년 11월 23일,6987863.556,15653
2025년 11월 24일,7003516.861,15653
2025년 11월 25일,7019170.167,15653
2025년 11월 26일,7034823.472,15653
2025년 11월 27일,7050476.778,15653
2025년 11월 28일,7066130.083,15653
2025년 11월 29일,7081783.389,15653
2025년 11월 30일,7097436.694,15653
2025년 12월 01일,7113090,15653
2025년 12월 02일,7127649.588,14560
2025년 12월 03일,7142209.176,14560
2025년 12월 04일,7156768.765,14560
2025년 12월 05일,7171328.353,14560
2025년 12월 06일,7185887.941,14560
2025년 12월 07일,7200447.529,14560
2025년 12월 08일,7215007.118,14560
2025년 12월 09일,7229566.706,14560
2025년 12월 10일,7244126.294,14560
2025년 12월 11일,7258685.882,14560
2025년 12월 12일,7273245.471,14560
2025년 12월 13일,7287805.059,14560
2025년 12월 14일,7302364.647,14560
2025년 12월 15일,7316924.235,14560
2025년 12월 16일,7331483.824,14560
2025년 12월 17일,7346043.412,14560
2025년 12월 18일,7360603,14560
2025년 12월 19일,7373423.688,12821
2025년 12월 20일,7386244.375,12821
2025년 12월 21일,7399065.063,12821
2025년 12월 22일,7411885.75,12821
2025년 12월 23일,7424706.438,12821
2025년 12월 24일,7437527.125,12821
2025년 12월 25일,7450347.813,12821
2025년 12월 26일,7463168.5,12821
2025년 12월 27일,7475989.188,12821
2025년 12월 28일,7488809.875,12821
2025년 12월 29일,7501630.563,12821
2025년 12월 30일,7514451.25,12821
2025년 12월 31일,7527271.938,12821
2026년 01월 01일,7540092.625,12821
2026년 01월 02일,7552913.313,12821
2026년 01월 03일,7565734,12821
2026년 01월 04일,7577841.118,12107
2026년 01월 05일,7589948.235,12107
2026년 01월 06일,7602055.353,12107
2026년 01월 07일,7614162.471,12107
2026년 01월 08일,7626269.588,12107
2026년 01월 09일,7638376.706,12107
2026년 01월 10일,7650483.824,12107
2026년 01월 11일,7662590.941,12107
2026년 01월 12일,7674698.059,12107
2026년 01월 13일,7686805.176,12107
2026년 01월 14일,7698912.294,12107
2026년 01월 15일,7711019.412,12107
2026년 01월 16일,7723126.529,12107
2026년 01월 17일,7735233.647,12107
2026년 01월 18일,7747340.765,12107
2026년 01월 19일,7759447.882,12107
2026년 01월 20일,7771555,12107
