날짜,총 재생 횟수,변동
2025년 07월 24일,14934,1270
2025년 07월 25일,16408,1474
2025년 07월 26일,17642,1234
2025년 07월 27일,18777,1135
2025년 07월 28일,19884,1107
2025년 07월 29일,21399,1515
2025년 07월 30일,22621,1222
2025년 07월 31일,25812.4,3191
2025년 08월 01일,29003.8,3191
2025년 08월 02일,32195.2,3191
2025년 08월 03일,35386.6,3191
2025년 08월 04일,38578,3191
2025년 08월 05일,41769.4,3191
2025년 08월 06일,44960.8,3191
2025년 08월 07일,48152.2,3191
2025년 08월 08일,51343.6,3191
2025년 08월 09일,54535,3191
2025년 08월 10일,57726.4,3191
2025년 08월 11일,60917.8,3191
2025년 08월 12일,64109.2,3191
2025년 08월 13일,67300.6,3191
2025년 08월 14일,70492,3191
2025년 08월 15일,73827,3335
2025년 08월 16일,81165,7338
2025년 08월 17일,88038,6873
2025년 08월 18일,95507,7469
2025년 08월 19일,102834,7327
2025년 08월 20일,110184,7350
2025년 08월 21일,119112,8928
2025년 08월 22일,127862,8750
2025년 08월 23일,137458,9596
2025년 08월 24일,146804,9346
2025년 08월 25일,155674,8870
2025년 08월 26일,164840,9166
2025년 08월 27일,174495,9655
2025년 08월 28일,183983,9488
2025년 08월 29일,193566,9583
2025년 08월 30일,204233,10667
2025년 08월 31일,213687,9454
2025년 09월 01일,222831,9144
2025년 09월 02일,232310,9479
2025년 09월 03일,243070,10760
2025년 09월 04일,254721,11651
2025년 09월 05일,266277,11556
2025년 09월 06일,278637,12360
2025년 09월 07일,290023,11386
2025년 09월 08일,300489,10466
2025년 09월 09일,312329,11840
2025년 09월 10일,323172,10843
2025년 09월 11일,334797,11625
2025년 09월 12일,346437,11640
2025년 09월 13일,358932,12495
2025년 09월 14일,370733,11801
2025년 09월 15일,381173,10440
2025년 09월 16일,392452,11279
2025년 09월 17일,403588,11136
2025년 09월 18일,414568,10980
2025년 09월 19일,426025,11457
2025년 09월 20일,438270,12245
2025년 09월 21일,449684,11414
2025년 09월 22일,460074,10390
2025년 09월 23일,471423,11349
2025년 09월 24일,482473,11050
2025년 09월 25일,493521,11048
2025년 09월 26일,504827,11306
2025년 09월 27일,516697,11870
2025년 09월 28일,528552,11855
2025년 09월 29일,539324,10772
2025년 09월 30일,550610,11286
2025년 10월 01일,562178,11568
2025년 10월 02일,573833,11655
2025년 10월 03일,586020,12187
2025년 10월 04일,598451,12431
2025년 10월 05일,610911,12460
2025년 10월 06일,622378,11467
2025년 10월 07일,634368,11990
2025년 10월 08일,645928,11560
2025년 10월 09일,658980,13052
2025년 10월 10일,673850,14870
2025년 10월 11일,687253,13403
2025년 10월 12일,701747,14494
2025년 10월 13일,714025,12278
2025년 10월 14일,727070,13045
2025년 10월 15일,740097,13027
2025년 10월 16일,753436,13339
2025년 10월 17일,766405,12969
2025년 10월 18일,779198,12793
2025년 10월 19일,791406,12208
2025년 10월 20일,802201,10795
2025년 10월 21일,814198,11997
2025년 10월 22일,826234,12036
2025년 10월 23일,838105,11871
2025년 10월 24일,856140,18035
2025년 10월 25일,864791,8651
2025년 10월 26일,881651,16860
2025년 10월 27일,888436,6785
2025년 10월 28일,902212,13776
2025년 10월 29일,912527.7778,10316
2025년 10월 30일,922843.5556,10316
2025년 10월 31일,933159.3333,10316
2025년 11월 01일,943475.1111,10316
2025년 11월 02일,953790.8889,10316
2025년 11월 03일,964106.6667,10316
2025년 11월 04일,974422.4444,10316
2025년 11월 05일,984738.2222,10316
2025년 11월 06일,995054,10316
2025년 11월 07일,1005369.778,10316
2025년 11월 08일,1015685.556,10316
2025년 11월 09일,1026001.333,10316
2025년 11월 10일,1036317.111,10316
2025년 11월 11일,1046632.889,10316
2025년 11월 12일,1056948.667,10316
2025년 11월 13일,1067264.444,10316
2025년 11월 14일,1077580.222,10316
2025년 11월 15일,1087896,10316
2025년 11월 16일,1098211.778,10316
2025년 11월 17일,1108527.556,10316
2025년 11월 18일,1118843.333,10316
2025년 11월 19일,1129159.111,10316
2025년 11월 20일,1139474.889,10316
2025년 11월 21일,1149790.667,10316
2025년 11월 22일,1160106.444,10316
2025년 11월 23일,1170422.222,10316
2025년 11월 24일,1180738,10316
2025년 11월 25일,1189559.765,8822
2025년 11월 26일,1198381.529,8822
2025년 11월 27일,1207203.294,8822
2025년 11월 28일,1216025.059,8822
2025년 11월 29일,1224846.824,8822
2025년 11월 30일,1233668.588,8822
2025년 12월 01일,1242490.353,8822
2025년 12월 02일,1251312.118,8822
2025년 12월 03일,1260133.882,8822
2025년 12월 04일,1268955.647,8822
2025년 12월 05일,1277777.412,8822
2025년 12월 06일,1286599.176,8822
2025년 12월 07일,1295420.941,8822
2025년 12월 08일,1304242.706,8822
2025년 12월 09일,1313064.471,8822
2025년 12월 10일,1321886.235,8822
2025년 12월 11일,1330708,8822
2025년 12월 12일,1338587,7879
2025년 12월 13일,1346466,7879
2025년 12월 14일,1354345,7879
2025년 12월 15일,1362224,7879
2025년 12월 16일,1370103,7879
2025년 12월 17일,1377982,7879
2025년 12월 18일,1385861,7879
2025년 12월 19일,1393740,7879
2025년 12월 20일,1401619,7879
2025년 12월 21일,1409498,7879
2025년 12월 22일,1417377,7879
2025년 12월 23일,1425256,7879
2025년 12월 24일,1433135,7879
2025년 12월 25일,1441014,7879
2025년 12월 26일,1448893,7879
2025년 12월 27일,1456772,7879
2025년 12월 28일,1464651,7879
2025년 12월 29일,1472196.625,7546
2025년 12월 30일,1479742.25,7546
2025년 12월 31일,1487287.875,7546
2026년 01월 01일,1494833.5,7546
2026년 01월 02일,1502379.125,7546
2026년 01월 03일,1509924.75,7546
2026년 01월 04일,1517470.375,7546
2026년 01월 05일,1525016,7546
2026년 01월 06일,1532561.625,7546
2026년 01월 07일,1540107.25,7546
2026년 01월 08일,1547652.875,7546
2026년 01월 09일,1555198.5,7546
2026년 01월 10일,1562744.125,7546
2026년 01월 11일,1570289.75,7546
2026년 01월 12일,1577835.375,7546
2026년 01월 13일,1585381,7546
