날짜,Spotify 스트림,변동
2025년 07월 27일,179662279,7263409
2025년 07월 28일,186704737,7042458
2025년 07월 29일,193389447,6684710
2025년 07월 30일,200641945,7252498
2025년 07월 31일,208228761,7586816
2025년 08월 01일,215841354,7612593
2025년 08월 02일,223479385,7638031
2025년 08월 03일,231101396,7622011
2025년 08월 04일,238812874,7711478
2025년 08월 05일,246219207,7406333
2025년 08월 06일,254114335,7895128
2025년 08월 07일,262097859,7983524
2025년 08월 08일,270002805,7904946
2025년 08월 09일,277917972,7915167
2025년 08월 10일,286007264,8089292
2025년 08월 11일,294028066,8020802
2025년 08월 12일,301541578,7513512
2025년 08월 13일,309266003,7724425
2025년 08월 14일,317128582,7862579
2025년 08월 15일,324994832,7866250
2025년 08월 16일,332986753,7991921
2025년 08월 17일,341135263,8148510
2025년 08월 18일,349354241,8218978
2025년 08월 19일,357112501,7758260
2025년 08월 20일,365027159,7914658
2025년 08월 21일,372970247,7943088
2025년 08월 22일,380975736,8005489
2025년 08월 23일,389217498,8241762
2025년 08월 24일,397512217,8294719
2025년 08월 25일,405998804,8486587
2025년 08월 26일,413962223,7963419
2025년 08월 27일,422190511,8228288
2025년 08월 28일,430403058,8212547
2025년 08월 29일,438576634,8173576
2025년 08월 30일,446699928,8123294
2025년 08월 31일,455168499,8468571
2025년 09월 01일,463716881,8548382
2025년 09월 02일,471559158,7842277
2025년 09월 03일,479449092,7889934
2025년 09월 04일,487361374,7912282
2025년 09월 05일,495302276,7940902
2025년 09월 06일,503335323,8033047
2025년 09월 07일,503335323,0
2025년 09월 08일,503335323,0
2025년 09월 09일,528056319,24720996
2025년 09월 10일,535890148,7833829
2025년 09월 11일,543723976,7833829
2025년 09월 12일,551557805,7833829
2025년 09월 13일,559391634,7833829
2025년 09월 14일,567225462,7833829
2025년 09월 15일,575059291,7833829
2025년 09월 16일,582893119,7833829
2025년 09월 17일,590726948,7833829
2025년 09월 18일,597949435,7222487
2025년 09월 19일,605303705,7354270
2025년 09월 20일,612634243,7330538
2025년 09월 21일,620367138,7732895
2025년 09월 22일,628615384,8248246
2025년 09월 23일,635867356,7251972
2025년 09월 24일,642826688,6959332
