날짜,총 재생 횟수,변동
2025년 07월 24일,3334596,14942
2025년 07월 25일,3348156,13560
2025년 07월 26일,3360370,12214
2025년 07월 27일,3373122,12752
2025년 07월 28일,3382627,9505
2025년 07월 29일,3395872,13245
2025년 07월 30일,3404863,8991
2025년 07월 31일,3415769,10906
2025년 08월 01일,3426345,10576
2025년 08월 02일,3437354,11009
2025년 08월 03일,3448088,10734
2025년 08월 04일,3457741,9653
2025년 08월 05일,3467591,9850
2025년 08월 06일,3477768,10177
2025년 08월 07일,3487875,10107
2025년 08월 08일,3499260,11385
2025년 08월 09일,3508680,9420
2025년 08월 10일,3518768,10088
2025년 08월 11일,3527357,8589
2025년 08월 12일,3538127,10770
2025년 08월 13일,3549758,11631
2025년 08월 14일,3558860,9102
2025년 08월 15일,3567962,9102
2025년 08월 16일,3577064,9102
2025년 08월 17일,3586166,9102
2025년 08월 18일,3595268,9102
2025년 08월 19일,3604370,9102
2025년 08월 20일,3613472,9102
2025년 08월 21일,3622574,9102
2025년 08월 22일,3631676,9102
2025년 08월 23일,3640778,9102
2025년 08월 24일,3649880,9102
2025년 08월 25일,3658982,9102
2025년 08월 26일,3666828.684,7847
2025년 08월 27일,3674675.368,7847
2025년 08월 28일,3682522.053,7847
2025년 08월 29일,3690368.737,7847
2025년 08월 30일,3698215.421,7847
2025년 08월 31일,3706062.105,7847
2025년 09월 01일,3713908.789,7847
2025년 09월 02일,3721755.474,7847
2025년 09월 03일,3729602.158,7847
2025년 09월 04일,3737448.842,7847
2025년 09월 05일,3745295.526,7847
2025년 09월 06일,3753142.211,7847
2025년 09월 07일,3760988.895,7847
2025년 09월 08일,3768835.579,7847
2025년 09월 09일,3776682.263,7847
2025년 09월 10일,3784528.947,7847
2025년 09월 11일,3792375.632,7847
2025년 09월 12일,3800222.316,7847
2025년 09월 13일,3808069,7847
2025년 09월 14일,3815915.684,7847
2025년 09월 15일,3823762.368,7847
2025년 09월 16일,3831609.053,7847
2025년 09월 17일,3839455.737,7847
2025년 09월 18일,3847302.421,7847
2025년 09월 19일,3855149.105,7847
2025년 09월 20일,3862995.789,7847
2025년 09월 21일,3870842.474,7847
2025년 09월 22일,3878689.158,7847
2025년 09월 23일,3886535.842,7847
2025년 09월 24일,3894382.526,7847
2025년 09월 25일,3902229.211,7847
2025년 09월 26일,3910075.895,7847
