날짜,Spotify 스트림,변동
2025년 07월 27일,232055593,958930
2025년 07월 28일,232941896,886303
2025년 07월 29일,233755005,813109
2025년 07월 30일,234636784,881779
2025년 07월 31일,235483770,846986
2025년 08월 01일,236405208,921438
2025년 08월 02일,237320537,915329
2025년 08월 03일,238242964,922427
2025년 08월 04일,239138502,895538
2025년 08월 05일,239996604,858102
2025년 08월 06일,240916696,920092
2025년 08월 07일,241818481,901785
2025년 08월 08일,242742980,924499
2025년 08월 09일,243665026,922046
2025년 08월 10일,244583116,918090
2025년 08월 11일,245512058,928942
2025년 08월 12일,246364678,852620
2025년 08월 13일,247253258,888580
2025년 08월 14일,248121794,868536
2025년 08월 15일,248945937,824143
2025년 08월 16일,249809499,863562
2025년 08월 17일,250683911,874412
2025년 08월 18일,251487251,803340
2025년 08월 19일,252250794,763543
2025년 08월 20일,253092241,841447
2025년 08월 21일,254002555,910314
2025년 08월 22일,254881843,879288
2025년 08월 23일,255720654,838811
2025년 08월 24일,256568107,847453
2025년 08월 25일,257362251,794144
2025년 08월 26일,258187128,824877
2025년 08월 27일,259079757,892629
2025년 08월 28일,259982260,902503
2025년 08월 29일,260915235,932975
2025년 08월 30일,261882386,967151
2025년 08월 31일,262838729,956343
2025년 09월 01일,263740720,901991
2025년 09월 02일,264579781,839061
2025년 09월 03일,264646202,66421
2025년 09월 04일,265556287,910085
2025년 09월 05일,266481987,925700
2025년 09월 06일,267440628,958641
2025년 09월 07일,267440628,0
2025년 09월 08일,267440628,0
2025년 09월 09일,270301482,2860854
2025년 09월 10일,271142090,840608
2025년 09월 11일,271982698,840608
2025년 09월 12일,272823305,840608
2025년 09월 13일,273663913,840608
2025년 09월 14일,274504521,840608
2025년 09월 15일,275345129,840608
2025년 09월 16일,276185736,840608
2025년 09월 17일,277026344,840608
2025년 09월 18일,277777701,751357
2025년 09월 19일,278553749,776048
2025년 09월 20일,279323167,769418
2025년 09월 21일,280114157,790990
2025년 09월 22일,280845577,731420
2025년 09월 23일,281495085,649508
2025년 09월 24일,282240761,745676
2025년 09월 25일,283014339,773578
2025년 09월 26일,283800012,785673
2025년 09월 27일,284586600,786588
2025년 09월 28일,285387870,801270
2025년 09월 29일,286163192,775322
2025년 09월 30일,286825357,662165
2025년 10월 01일,287633564,808207
2025년 10월 02일,288547640,914076
2025년 10월 03일,288217615,-330025
2025년 10월 04일,289085127,867512
2025년 10월 05일,289851055,765928
2025년 10월 06일,290573046,721991
2025년 10월 07일,291193932,620886
2025년 10월 08일,291908172,714240
2025년 10월 09일,292664444,756272
2025년 10월 10일,293383307,718863
2025년 10월 11일,294161368,778061
2025년 10월 12일,294899578,738210
2025년 10월 13일,295571353,671775
2025년 10월 14일,296159620,588267
2025년 10월 15일,296853295,693675
2025년 10월 16일,297532841,679546
2025년 10월 17일,298226960,694119
2025년 10월 18일,298967345,740385
2025년 10월 19일,299696073,728728
2025년 10월 20일,300401223,705150
2025년 10월 21일,301057606,656383
