날짜,Spotify 스트림,변동
2025년 10월 05일,31476177,0
2025년 10월 06일,65522213,34046036
2025년 10월 07일,65522213,0
2025년 10월 08일,83255007,17732794
2025년 10월 09일,100659385,17404378
2025년 10월 10일,117043118,16383733
2025년 10월 11일,132601297,15558179
2025년 10월 12일,148159475,15558179
2025년 10월 13일,161700925,13541450
2025년 10월 14일,172999855,11298930
2025년 10월 15일,185535134,12535279
2025년 10월 16일,197845630,12310496
2025년 10월 17일,209665673,11820043
2025년 10월 18일,220985342,11319669
2025년 10월 19일,232163948,11178606
2025년 10월 20일,242302712,10138764
2025년 10월 21일,251034799,8732087
2025년 10월 22일,260785926,9751127
2025년 10월 23일,270344682,9558756
2025년 10월 24일,279693893,9349211
2025년 10월 25일,288862675,9168782
2025년 10월 26일,298243074,9380399
2025년 10월 27일,306981628,8738554
2025년 10월 28일,314604668,7623040
2025년 10월 29일,323064768,8460100
2025년 10월 30일,331578555,8513787
2025년 10월 31일,340030186,8451631
2025년 11월 01일,348388456,8358270
2025년 11월 02일,356997961,8609505
2025년 11월 03일,364563549,7565588
2025년 11월 04일,371448377,6884828
2025년 11월 05일,379172031,7723654
2025년 11월 06일,386918224,7746193
2025년 11월 07일,394632237,7714013
2025년 11월 08일,402492031,7859794
2025년 11월 09일,410619283,8127252
2025년 11월 10일,418446440,7827157
2025년 11월 11일,425111418,6664978
2025년 11월 12일,432579736,7468318
2025년 11월 13일,440117625,7537889
2025년 11월 14일,447597976,7480351
2025년 11월 15일,455156795,7558819
2025년 11월 16일,462996559,7839764
2025년 11월 17일,470548464,7551905
2025년 11월 18일,477042728,6494264
2025년 11월 19일,484179724,7136996
2025년 11월 20일,491408089,7228365
2025년 11월 21일,498662884,7254795
2025년 11월 22일,505853799,7190915
2025년 11월 23일,513143256,7289457
2025년 11월 24일,520264519,7121263
2025년 11월 25일,526368075,6103556
2025년 11월 26일,533164374,6796299
2025년 11월 27일,540389402,7225028
2025년 11월 28일,547724355,7334953
2025년 11월 29일,554581125,6856770
2025년 11월 30일,561615942,7034817
2025년 12월 01일,568123519,6507577
2025년 12월 02일,573919162,5795643
2025년 12월 03일,580169724,6250562
2025년 12월 04일,586686523,6516799
2025년 12월 05일,593564236,6877713
2025년 12월 06일,600218370,6654134
2025년 12월 07일,606881232,6662862
2025년 12월 08일,613278428,6397196
2025년 12월 09일,619017544,5739116
2025년 12월 10일,625398426,6380882
2025년 12월 11일,632017086,6618660
2025년 12월 12일,638710148,6693062
2025년 12월 13일,645500262,6790114
2025년 12월 14일,652599625,7099363
2025년 12월 15일,659524617,6924992
2025년 12월 16일,665486507,5961890
2025년 12월 17일,672058203,6571696
2025년 12월 18일,678783531,6725328
2025년 12월 19일,685581688,6798157
2025년 12월 20일,692530753,6949065
2025년 12월 21일,699553532,7022779
2025년 12월 22일,706300235,6746703
2025년 12월 23일,712362972,6062737
2025년 12월 24일,719155059,6792087
2025년 12월 25일,726049134,6894075
2025년 12월 26일,732465082,6415948
2025년 12월 27일,737263423,4798341
2025년 12월 28일,749352066,12088643
2025년 12월 29일,749352066,0
2025년 12월 30일,755353571,6001505
2025년 12월 31일,768870571,13517000
2026년 01월 01일,775676666,6806095
2026년 01월 02일,782482760,6806095
2026년 01월 03일,788824443,6341683
2026년 01월 04일,795089206,6264763
2026년 01월 05일,795089206,0
2026년 01월 06일,800874050,5784844
2026년 01월 07일,807380534,6506484
2026년 01월 08일,813883508,6502974
2026년 01월 09일,820487898,6604390
2026년 01월 10일,827099902,6612004
2026년 01월 11일,834151519,7051617
2026년 01월 12일,841021295,6869776
2026년 01월 13일,853631122,12609827
2026년 01월 14일,853631122,0
2026년 01월 15일,860161447,6530325
2026년 01월 16일,866607228,6445781
2026년 01월 17일,872972858,6365630
2026년 01월 18일,879352160,6379302
2026년 01월 19일,885603306,6251146
2026년 01월 20일,890767864,5164558
2026년 01월 21일,896573200,5805336
2026년 01월 22일,902527274,5954074
2026년 01월 23일,908505118,5977844
2026년 01월 24일,920418281,11913163
2026년 01월 25일,920418281,0
2026년 01월 26일,926154812,5736531
