날짜,총 조회수,변동
2025년 10월 22일,75163477,0
2025년 10월 23일,77094022,1930545
2025년 10월 24일,79001812,1907790
2025년 10월 25일,80926399,1924587
2025년 10월 26일,82938507,2012108
2025년 10월 27일,84715964,1777457
2025년 10월 28일,86376518,1660554
2025년 10월 29일,88057295,1680777
2025년 10월 30일,89738504,1681209
2025년 10월 31일,91420666,1682162
2025년 11월 01일,93152534,1731868
2025년 11월 02일,94965751,1813217
2025년 11월 03일,96575073,1609322
2025년 11월 04일,98103994,1528921
2025년 11월 05일,99678707,1574713
2025년 11월 06일,101368049,1689342
2025년 11월 07일,103099343,1731294
2025년 11월 08일,105011684,1912341
2025년 11월 09일,107041482,2029798
2025년 11월 10일,108849456,1807974
2025년 11월 11일,110548044,1698588
2025년 11월 12일,112616100,2068056
2025년 11월 13일,114684156,2068056
2025년 11월 14일,116559190,1875034
2025년 11월 15일,118461718,1902528
2025년 11월 16일,119861708,1399990
2025년 11월 17일,121261698,1399990
2025년 11월 18일,123960998,2699300
2025년 11월 19일,125545988,1584990
2025년 11월 20일,127130977,1584989
2025년 11월 21일,128715967,1584990
2025년 11월 22일,130300956,1584989
2025년 11월 23일,131885946,1584990
2025년 11월 24일,133470935,1584989
2025년 11월 25일,135055925,1584990
2025년 11월 26일,136978965,1923040
2025년 11월 27일,138031932,1052967
2025년 11월 28일,139084899,1052967
2025년 11월 29일,141401647,2316748
2025년 11월 30일,143215397,1813750
2025년 12월 01일,144092262,876865
2025년 12월 02일,146053692,1961430
2025년 12월 03일,147532546,1478854
2025년 12월 04일,148428877,896331
2025년 12월 05일,150582285,2153408
2025년 12월 06일,153241425,2659140
2025년 12월 07일,154210067,968642
2025년 12월 08일,155178709,968642
2025년 12월 09일,156925702,1746993
2025년 12월 10일,159075542,2149840
2025년 12월 11일,160645541,1569999
2025년 12월 12일,162042180,1396639
2025년 12월 13일,163473063,1430883
2025년 12월 14일,164903946,1430883
2025년 12월 15일,167021894,2117948
2025년 12월 16일,169412144,2390250
2025년 12월 17일,170493824,1081680
2025년 12월 18일,172044759,1550935
2025년 12월 19일,173595693,1550934
2025년 12월 20일,175703492,2107799
2025년 12월 21일,177811290,2107798
2025년 12월 22일,179738441,1927151
2025년 12월 23일,182121212,2382771
2025년 12월 24일,184410289,2289077
2025년 12월 25일,185997846,1587557
2025년 12월 26일,187178902,1181056
2025년 12월 27일,188359958,1181056
2025년 12월 28일,190292534,1932576
2025년 12월 29일,193093495,2800961
2025년 12월 30일,193961637,868142
2025년 12월 31일,197122340,3160703
2026년 01월 01일,199410942,2288602
2026년 01월 02일,200807522,1396580
2026년 01월 03일,202204101,1396579
2026년 01월 04일,204673533,2469432
2026년 01월 05일,207094722,2421189
2026년 01월 06일,208784881,1690159
2026년 01월 07일,209914894,1130013
2026년 01월 08일,212063018,2148124
2026년 01월 09일,214211142,2148124
2026년 01월 10일,216017123,1805981
2026년 01월 11일,217823104,1805981
2026년 01월 12일,219633947,1810843
2026년 01월 13일,221444789,1810842
2026년 01월 14일,223187322,1742533
2026년 01월 15일,224929855,1742533
2026년 01월 16일,227013497,2083642
2026년 01월 17일,229097140,2083643
2026년 01월 18일,231180782,2083642
2026년 01월 19일,233253543,2072761
2026년 01월 20일,235022509,1768966
2026년 01월 21일,236693843,1671334
2026년 01월 22일,238365177,1671334
2026년 01월 23일,240036511,1671334
2026년 01월 24일,241707845,1671334
2026년 01월 25일,243328087,1620242
2026년 01월 26일,244948329,1620242
2026년 01월 27일,346593401,0
